COUNT,House Amount (in thousands),Senate Amount (in thousands),Final Amount (in thousands),Program Increase,Floor Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,$0,"$5,000","$5,000",Extreme temperatures energy resilience research,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",high power fast charging for fleet modernization,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Hydrogen fuel cell back-up power system development,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Innovative design and manufacturing of advanced composites/multi material protective systems,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",methane capture and conversion,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Rechargeable lithium batteries,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",self contained power for towers and sensors,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Soft target protection,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",additive manufacturing for weapons and armaments components,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,"$5,000","$5,000","$5,000",advanced ceramic technologies,,,No,No,No,Ground Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Artificial intelligence framework for adaptive polymer composites,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Critical hybrid advanced materials processing,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",environmental quality enhanced coatings,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",integrity of transparent armor,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Metal forging innovation,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",PFAS predictive modeling,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Research for hydrogen energy from galvanic aluminum,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Near net shape materials,,,No,Yes,No,Hypersonics,,Army,RDT&E,
,"$5,000",$0,"$5,000",CROWS-AHD,,,No,Yes,No,Infantry Support Weapons,,Army,RDT&E,
,$0,"$5,000","$5,000",Quantum technologies for armament systems,,,No,Yes,No,Lethality Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",tactical organic fire support,,,No,Yes,No,Lethality Technology,,Army,RDT&E,
,"$5,000","$5,000","$5,000",mobile ULCANS,,,No,Yes,No,Logistics and Engineer Equipment--Eng Dev,,Army,RDT&E,
,$0,"$5,000","$5,000",Digital engineering for missile technology,,,No,Yes,No,Long Range Precision Fires Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",joined tandem wing steerable munition,,,No,Yes,No,Long Range Precision Fires Advanced Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Advanced manufacturing for refractory alloys,,,No,Yes,No,Long Range Precision Fires Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",design for additive manufacturing for missile applications,,,No,Yes,No,Long Range Precision Fires Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",extended range projectiles,,,No,Yes,No,Long Range Precision Fires Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Hypersonic wind tunnel development,,,No,Yes,No,Long Range Precision Fires Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",prophylactic medical countermeasure for acute radiation syndrome,,,No,Yes,No,Medical Advanced Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Bioelectronic device program,,,No,Yes,No,Medical Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Development of combat-ready anti-microbial hemostatic wound dressing,,,No,Yes,No,Medical Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Nanomaterials for bone regeneration,,,No,Yes,No,Medical Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",nutrition impacts on military health and performance,,,No,No,No,Medical Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Agile sensing for radio frequency and radar capabilities,,,No,Yes,No,Network C3I Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",Collaborative for Hierarchical and Agile Responsive Material,,,No,Yes,No,Network C3I Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",low-cost counter-drone EW force protection,,,No,Yes,No,Network C3I Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",secure microelectronic interposer technology for hardware assurance,,,No,Yes,No,Network C3I Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Social network analysis,,,No,Yes,No,Network C3I Technology,,Army,RDT&E,
,"$5,000","$2,500","$5,000",additive manufacturing of critical components,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",advanced adhesives,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",composite components for medium caliber armament systems,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",C-UAS for 5G-enabled drones,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Dual chemistry battery pack demonstration,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",highly engineered rotating components,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Hydrogen storage solution,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Modular electric motors,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",multi-national contested logistics system,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",titanium armor and joining techniques,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",highly electrified vehicles,,,No,Yes,No,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$5,000","$5,000","$5,000",machine learning optimized power electronics,,,No,Yes,No,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",prototyping energy smart autonomous ground systems,,,No,Yes,No,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",wafer-scale image intensifier technology,,,No,Yes,No,Night Vision Systems Advanced Development,,Army,RDT&E,
,"$5,000",$0,"$5,000",squad operations advanced resupply,,,No,Yes,No,Soldier Lethality Advanced Technology,,Army,RDT&E,
,"$5,000","$5,000","$5,000",HEROES,,,No,Yes,No,Soldier Lethality Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",material development for personal protection systems,,,No,Yes,No,Soldier Lethality Technology,,Army,RDT&E,
,"$5,000",$0,"$5,000",nanolayered polymer optics,,,No,Yes,No,Soldier Lethality Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Pathfinder artic warfare,,,No,Yes,No,Soldier Lethality Technology,,Army,RDT&E,
,$0,"$5,000","$5,000",Development of fully integrated sight,,,No,Yes,No,Soldier Systems--Advanced Development,,Army,RDT&E,
,"$5,000",$0,"$5,000",rifle integrated controller,,,No,Yes,No,Soldier Systems--Advanced Development,,Army,RDT&E,
,$0,"$5,000","$5,000",Conformal wearable battery,,,No,No,No,Soldier Systems--Warrior Dem/Val,,Army,RDT&E,
,$0,"$5,000","$5,000",CSOC for contested logistics,,,No,Yes,No,Threat Simulator Development,,Army,RDT&E,
,$0,"$5,000","$5,000",Materials in extreme dynamic environments,,,No,Yes,No,University and Industry Research Centers,,Army,RDT&E,
,$0,"$5,000","$5,000",Quantum and photonics research,,,No,No,No,University and Industry Research Centers,,Army,RDT&E,
,"$5,000",$0,"$5,000",renewable energy technologies,,,No,Yes,No,University and Industry Research Centers,,Army,RDT&E,
,"$5,000",$0,"$5,000",lightweight ammunition manufacturing resilience,,,No,Yes,No,Weapons and Munitions - ENG DEV,,Army,RDT&E,
,"$5,000","$5,000","$5,000",low drag artillery guidance kit,,,No,Yes,No,Weapons and Munitions - ENG DEV,,Army,RDT&E,
,$0,"$5,000","$5,000",Agile manufacturing for advanced armament systems,,,No,Yes,No,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,$0,"$5,000","$5,000",Smart manufacturing for armaments,,,No,Yes,No,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,$0,"$5,000","$5,000",Hypersonic HWIL upgrades,,,No,Yes,No,Advanced Concepts and Performance Assessment,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",long-lived power source for directed energy weapon missile defense satellite system,,,No,Yes,No,Advanced Concepts and Performance Assessment,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",hypersonic interceptor component,,,No,Yes,No,Advanced Research,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",advanced target front end configuration technology maturation,,,No,Yes,No,Ballistic Missile Defense Targets,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",THAAD modernization,,,No,Yes,No,Ballistic Missile Terminal Defense Segment,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",secure transit over untrusted networks,,,No,Yes,No,Chief Digital and Artificial Intelligence Officer (CDAO) - Dem/Val Activities,,Defense Wide,RDT&E,
,$0,"$40,000","$5,000",SUNvana improvements,,,No,Yes,No,Chief Digital and Artificial Intelligence Officer (CDAO) - Dem/Val Activities,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Advanced EMS monitoring for western EW test ranges,,,No,Yes,No,Combating Terrorism Technology Support,,Defense Wide,RDT&E,
,$0,$0,"$5,000",supercavitating projectiles,,,Yes,Yes,No,Combating Terrorism Technology Support,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",advanced manufacturing of energetics,,,No,Yes,No,Counter Weapons of Mass Destruction Applied Research,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Academic cyber institutes,,,No,Yes,No,Cyber Security Research,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Pacific intelligence and innovation initiative,,,No,Yes,No,Cyber Security Research,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",autonomous amphibious vehicle / autonomous amphibious response vehicle,,,No,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Additive manufacturing at scale,,,No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",OT and internet-of-things asset identification and management,,,No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Materials science in extreme environments,,,No,Yes,No,DTRA Basic Research,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",On-base microgrid resiliency,,,No,Yes,No,Environmental Security Technical Certification Program,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000","Implementation of findings and recommendations of security programs, policies and procedures",,,No,No,No,General Support to OUSD (Intelligence and Security),,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Advanced headborne systems and manufacturing,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Automated textile manufacturing,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Battery manufacturing supply chain resilience,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Munitions supply chain diversification,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Rare earth element demonstration,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Scaling commercial grade packs and frames,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",securing rare earth,,,No,No,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Small business shipbuilding supplier resiliency,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",energetics acceleration,,,No,Yes,No,Joint Munitions Advanced Technology,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",artificial intelligence manufacturing,,,No,Yes,No,Manufacturing Technology Program,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Critical mineral supply chain resiliency,,,No,Yes,No,Manufacturing Technology Program,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",steel performance initiative,,,No,Yes,No,Manufacturing Technology Program,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Female body armor development and modernization,,,No,Yes,SOCOM,Operational Enhancements,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Federal voting assistance program,,,No,No,No,"R&D in Support of DoD Enlistment, Testing and Evaluation",,Defense Wide,RDT&E,
,$0,$0,"$5,000",undersea kinetic multi-payload capable USV,,,Yes,Yes,No,Rapid Prototyping Program,,Defense Wide,RDT&E,
,$0,"$5,000","$5,000",Radiation-hardened chiplet design acceleration,,,No,Yes,No,Trusted & Assured Microelectronics,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",CUAS group 3 defeat acceleration,,,No,Yes,SOCOM,Warrior Systems,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",SPEAR body armor,,,No,No,No,Warrior Systems,,Defense Wide,RDT&E,
,"$5,000",$0,"$5,000",high temperature superconducting main propulsion electric motor technology,,,No,Yes,No,Advanced Surface Machinery Systems,,Navy,RDT&E,
,"$5,000",$0,"$5,000",tactical energy management controller,,,No,Yes,No,Advanced Surface Machinery Systems,,Navy,RDT&E,
,$0,$0,"$5,000",backpackable EA module,,,Yes,Yes,No,Counter Unmanned Aircraft Systems (C-UAS),,Navy,RDT&E,
,"$5,000",$0,"$5,000",hypersonics workforce development,,,No,Yes,No,Defense Research Sciences,,Navy,RDT&E,
,"$5,000",$0,"$5,000",silicon-germanium-tin alloy research,,,No,Yes,No,Defense Research Sciences,,Navy,RDT&E,
,"$5,000",$0,"$5,000",joint enterprise data interoperability for F-35 depots,,,No,Yes,No,Depot Maintenance (NON-IF),,Navy,RDT&E,
,$0,"$5,000","$5,000","Augmented, context-based identity awareness",,,No,Yes,No,Electromagnetic Systems Advanced Technology,,Navy,RDT&E,
,$0,"$5,000","$5,000",Autonomous collaboration in confined maritime environments,,,No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,
,$0,"$5,000","$5,000",Corrosion control and material / corrosion control coatings and material,,,No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,
,"$5,000",$0,"$5,000",actionable analytics and services for reliable maintenance,,,No,Yes,No,Information Technology Development,,Navy,RDT&E,
,"$5,000",$0,"$5,000",cyber digital twin development,,,No,Yes,No,Information Technology Development,,Navy,RDT&E,
,"$5,000",$0,"$5,000",advanced tactical data link,,,No,No,No,Joint Tactical Radio System - Navy (JTRS-NAVY),,Navy,RDT&E,
,$0,"$5,000","$5,000",MADIS radar,,,No,No,No,Marine Corps Air Defense Weapons Systems,,Navy,RDT&E,
,"$5,000","$2,500","$5,000",enhanced weather prediction and atmospheric rivers research / atmospheric river research,,,No,Yes,No,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,"$5,000",$0,"$5,000",intelligent autonomous systems for seabed warfare,,,No,Yes,No,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,$0,"$5,000","$5,000",Oceanographic research for Naval Special Warfare,,,No,Yes,No,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,"$5,000",$0,"$5,000",task force ocean,,,No,No,No,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,$0,"$5,000","$5,000",Multimodal biometric authentication,,,No,Yes,No,Strategic Sub & Weapons System Support,,Navy,RDT&E,
,$0,"$5,000","$5,000",Integration of four-tube launch system,,,No,Yes,No,Submarine Acoustic Warfare Development,,Navy,RDT&E,
,$0,"$5,000","$5,000",Distributed sensing for shipboard fire detection and localization,,,No,Yes,No,Undersea Warfare Applied Research,,Navy,RDT&E,
,"$5,000",$0,"$5,000",persistent maritime surveillance,,,No,Yes,No,Undersea Warfare Applied Research,,Navy,RDT&E,
,$0,"$5,000","$5,000",Undersea sending and communications,,,No,Yes,No,Undersea Warfare Applied Research,,Navy,RDT&E,
,$0,"$5,000","$5,000",Adaptive future force,,,No,Yes,No,USMC Advanced Technology Demonstration [ATD],,Navy,RDT&E,
,"$5,000",$0,"$5,000",multi-spectral camouflage expeditionary large targets and structures,,,No,Yes,No,USMC Advanced Technology Demonstration [ATD],,Navy,RDT&E,
,"$5,000",$0,"$5,000",bone marrow registry program,,,No,Yes,No,Warfighter Protection Advanced Technology,,Navy,RDT&E,
,"$5,000","$5,000","$5,000",warfighter resilience and readiness,,,No,Yes,No,Warfighter Protection Advanced Technology,,Navy,RDT&E,
,$0,"$5,000","$5,000",Augmented reality robotic surgery,,,No,Yes,No,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,"$5,000",$0,"$5,000",high mobility ground robots,,,No,Yes,No,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,$0,"$5,000","$5,000",Remote vestibular assessment technology,,,No,Yes,No,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,"$5,000",$0,"$5,000",additive manufacturing of energetics,,,No,Yes,No,Space Advanced Technology Development/Demo,,Space Force,RDT&E,
,"$8,000",$0,"$5,000",commercial space access improvements,,,No,Yes,No,Space Advanced Technology Development/Demo,,Space Force,RDT&E,
,$0,"$5,000","$5,000",EO and LADAR for early threat detection,,,No,Yes,No,Space Advanced Technology Development/Demo,,Space Force,RDT&E,
,"$5,000",$0,"$5,000",hydrocarbon boost engine,,,No,Yes,No,Space Advanced Technology Development/Demo,,Space Force,RDT&E,
,"$5,000",$0,"$5,000",responsive launch infrastructure upgrade,,,No,Yes,No,Space Advanced Technology Development/Demo,,Space Force,RDT&E,
,"$5,000",$0,"$5,000",in-orbit electric propulsion,,,No,Yes,No,Space Control Technology,,Space Force,RDT&E,
,$0,"$5,000","$5,000",Isotope power systems,,,No,Yes,No,Space Science and Technology Research and Development,,Space Force,RDT&E,
,"$5,000",$0,"$5,000","radiation-hardened, trusted, assured microelectronics",,,No,Yes,No,Space Science and Technology Research and Development,,Space Force,RDT&E,
,$0,"$5,000","$5,000",Unified data library,,,No,No,No,Space Situation Awareness Operations,,Space Force,RDT&E,
,$0,"$5,000","$5,000",High-efficiency solar chiplet arrays for LEO satellites,,,No,Yes,No,Space Technology,,Space Force,RDT&E,
,"$5,000",$0,"$5,000",hybrid space architecture,,,No,No,No,Space Technology,,Space Force,RDT&E,
,$0,"$5,000","$5,000",Space situational awareness ground infrastructure,,,No,No,No,Space Technology,,Space Force,RDT&E,
,"$4,900",$0,"$4,900",all domain autonomous simulation,,,No,Yes,No,Chief Digital and Artificial Intelligence Officer (CDAO) - Dem/Val Activities,,Defense Wide,RDT&E,
,"$4,900",$0,"$4,900",modeling and simulation for autonomy,,,No,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
,"$4,750",$0,"$4,750",FLEETSPACE helicopter maintenance management tool,,,No,Yes,No,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,$0,"$4,734","$4,734",Novel strategies to prevent infection in severe fractures,,,No,Yes,No,Medical Advanced Technology,,Army,RDT&E,
,"$4,700",$0,"$4,700",unified video dissemination system for INDOPACOM,,,No,No,No,Defense Information System Network,"Procurement, Defense Wide",Defense Wide,Procurement,
,"$4,500","$4,500","$4,500",medium range intercept capability,,,No,No,No,Ground Based Air Defense,"Procurement, Marine Corps",Navy,Procurement,
,"$4,500",$0,"$4,500",aluminum microtube heat exchangers,,,No,Yes,No,F15EX,,Air Force,RDT&E,
,"$4,500",$0,"$4,500",data refinement and optimization for aviation sustainment,,,No,Yes,No,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,$0,"$9,000","$4,500",Arctic capable expeditionary shelters,,,No,Yes,No,Logistics and Engineer Equipment--Eng Dev,,Army,RDT&E,
,$0,"$4,200","$4,200",Stryker driver-assistance systems,,,No,Yes,No,Combat Vehicle Improvement Programs,,Army,RDT&E,
,$0,"$4,000","$4,000",Integrated Base Defense Security System community cybersecurity,,,No,Yes,,Air Force Physical Security System,"Other Procurement, Air Force",Air Force,Procurement,
,"$4,000",$0,"$4,000",additive manufacturing tier 2 sustainment,,,No,Yes,No,Aircraft Industrial Facilities,"Aircraft Procurement, Navy",Navy,Procurement,
,"$4,000",$0,"$4,000",GPS-based machine control systems,,,No,Yes,No,Construction & Maintenance Equip,"Other Procurement, Navy",Navy,Procurement,
,"$4,000",$0,"$4,000",beryllium manufacturing,,,No,Yes,No,Advanced Materials for Weapon Systems,,Air Force,RDT&E,
,$0,"$4,000","$4,000",Arctic campaigning,,,No,Yes,NORTHCOM,Agile Combat Support,,Air Force,RDT&E,
,$0,"$4,000","$4,000",Photonic quantum computing,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$4,000",$0,"$4,000",aerospace film technology manufacturing,,,No,Yes,No,Manufacturing Technology Program,,Air Force,RDT&E,
,$0,"$4,000","$4,000",Composites for electromagnetic interference shielding,,,No,Yes,No,Materials,,Air Force,RDT&E,
,$0,"$4,000","$4,000",Manufactured radio frequency photonic devices and systems for airborne platforms,,,No,Yes,No,Materials,,Air Force,RDT&E,
,$0,"$4,000","$4,000",Laboratory technology transfer,,,No,Yes,No,Technology Transfer,,Air Force,RDT&E,
,$0,"$4,000","$4,000","Advanced manufacturing for missile, radar and ground support equipment",,,No,Yes,No,End Item Industrial Preparedness Activities,,Army,RDT&E,
,$0,"$4,000","$4,000",Secure APNT for FTUAS,,,No,No,No,Future Tactical Unmanned Aircraft System (FTUAS),,Army,RDT&E,
,$0,"$4,000","$4,000",Accelerator technology for ground maneuver,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,$0,"$4,000","$4,000",Cold weather military research,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,$0,"$4,000","$4,000",Impacts of soil structures on hydrology,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,$0,$0,"$4,000",OLED micro displays,,,Yes,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,"$4,000",$0,"$4,000",coastal hydraulics laboratory project,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$4,000","$4,000",Radio frequency photonic systems,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,$0,"$4,000","$4,000",Laser range finder,,,No,Yes,No,Soldier Systems--Advanced Development,,Army,RDT&E,
,$0,"$4,000","$4,000",Advanced regenerative manufacturing,,,No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,
,$0,"$4,000","$4,000",Aluminum castings performance initiative,,,No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,
,$0,"$4,000","$4,000",Integrated silicon-based lasers,,,No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,
,"$4,000",$0,"$4,000",domestic nickel superalloy castings,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,$0,"$4,000","$4,000",Hypersonic radomes and apertures,,,No,Yes,No,Manufacturing Technology Program,,Defense Wide,RDT&E,
,$0,"$4,000","$4,000",Universal AI/ML core environment,,,No,Yes,No,Advanced Combat Systems Technology,,Navy,RDT&E,
,"$4,000",$0,"$4,000",noise reduction technology,,,No,Yes,No,F/A-18 Squadrons,,Navy,RDT&E,
,$0,"$4,000","$4,000",Deployable additive manufacturing of composite UUVs,,,No,Yes,No,Force Protection Advanced Technology,,Navy,RDT&E,
,"$4,000",$0,"$4,000",deployable surveillance systems,,,No,No,No,Integrated Surveillance System,,Navy,RDT&E,
,$0,"$4,000","$4,000",Sustainable energetic materials manufacturing,,,No,Yes,No,Manufacturing Technology Program,,Navy,RDT&E,
,$0,"$4,000","$4,000",Ocean acoustics for monitoring,,,No,No,No,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,"$4,000",$0,"$4,000",tactical data links and networks,,,No,Yes,No,Unmanned Undersea Vehicle Core Technologies,,Navy,RDT&E,
,"$4,000",$0,"$4,000",human performance and injury rehabilitation assessment tool,,,No,Yes,No,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,$0,$0,"$4,000",SSDP support,,,Yes,No,No,Space Security and Defense Program,,Space Force,RDT&E,
,$0,"$4,000","$4,000",Space qualified solar cell manufacturing,,,No,Yes,No,Space Technology,,Space Force,RDT&E,
,$0,"$3,800","$3,800",Medium range intercept capability,,,No,No,No,Marine Corps Air Defense Weapons Systems,,Navy,RDT&E,
,$0,"$3,500","$3,500",Electrolyzer technology,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,"$3,500",$0,"$3,500",pavement preservation,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$3,500","$3,500",Augmented reality for denied environments,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,$0,"$3,500","$3,500",Fast-refueling fuel cell engines,,,No,Yes,No,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$3,500",$0,"$3,500",indentity management,,,No,Yes,No,SOF Advanced Technology Development,,Defense Wide,RDT&E,
,$0,"$3,500","$3,500",Magnetoresistive random-access memory,,,No,Yes,No,Trusted & Assured Microelectronics,,Defense Wide,RDT&E,
,"$3,500",$0,"$3,500",passive radar for air defense and counter unmanned aerial systems,,,No,Yes,No,Warrior Systems,,Defense Wide,RDT&E,
,$0,"$3,500","$3,500",Real-time undersea monitoring for shipping channels,,,No,Yes,No,Future Naval Capabilities Advanced Technology Development,,Navy,RDT&E,
,$0,"$3,250","$3,250",Shaping metallic surfaces for thermal system management,,,No,Yes,No,Defense Research Sciences,,Navy,RDT&E,
,$0,$0,"$3,000",four remote simulator instructor stations,,,Yes,No,No,General Information Technology,"Other Procurement, Air Force",Air Force,Procurement,
,$0,"$3,000","$3,000",Litter basket stabilization technology for search and rescue,,,No,Yes,No,Utility Helicopter Mods,"Aircraft Procurement, Army",Army,Procurement,
,$0,"$3,000","$3,000",Melt pour facility modernization,,,No,No,No,Industrial Facilities,"Procurement of Ammunition, Army",Army,Procurement,
,$0,"$3,000","$3,000",Demolition Equipment Set,,,No,Yes,Marine Corps,EOD Systems,"Procurement, Marine Corps",Navy,Procurement,
,"$3,000",$0,"$3,000",file rights management,,,No,Yes,No,Acquisition and Management Support,,Air Force,RDT&E,
,$0,"$3,000","$3,000",Improving reliability of electrical systems for future aircraft,,,No,Yes,No,Aerospace Propulsion,,Air Force,RDT&E,
,"$3,000",$0,"$3,000",Infil radars for wind farm coverage,,,No,Yes,No,"Air Traffic Control, Approach, and Landing System (ATCALS)",,Air Force,RDT&E,
,$0,$0,"$3,000",digital transformation digital technology maturation and adoption,,,No,Yes,No,Digital Transformation Office,,Air Force,RDT&E,
,$0,$0,"$3,000",critical care air transport teams,,,Yes,Yes,No,Human Effectiveness Applied Research,,Air Force,RDT&E,
,$0,"$3,000","$3,000",Accelerate air-breathing hypersonic manufacturing AUR maturation,,,No,Yes,No,Hypersonics Prototyping--Hypersonic Attack Cruise Missile [HACM],,Air Force,RDT&E,
,"$3,000",$0,"$3,000",advanced ballistic aeroshells,,,No,Yes,No,Intercontinental Ballistic Missile - Dem/Val,,Air Force,RDT&E,
