COUNT,House Amount (in thousands),Senate Amount (in thousands),Final Amount (in thousands),Program Increase,Floor Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,"$5,000",$0,$0,"support the Army’s efforts to integrate hydrogen propulsion into ground vehicles through development, installation, testing and evaluation of modular, interconnected high-capacity hydrogen generation and heavy duty fueling station system",31.0,Fitzpatrick (PA),No,Yes,No,,,Army,RDT&E,"O&M, Defense Wide"
,"$4,000","$4,000","$4,000",Advanced Manufacturing Cell for Missile Fins and Components / Advanced manufacturing cell for missile fins,30.0,Fitzgerald (WI),No,Yes,No,End Item Industrial Preparedness Activities,,Army,RDT&E,"O&M, Defense Wide"
,"$2,500",$0,"$1,000",University Consortium for Space Technology,28.0,Crow (CO),No,No,No,Space Technology,,Space Force,RDT&E,"O&M, Defense Wide"
,"$5,000",$0,$0,MK107 cartridges,24.0,Boebert (CO),No,Yes,No,,"Procurement of Ammunition, Navy and Marine Corps",Navy,Procurement,"O&M, Defense Wide"
,"$3,000",$0,$0,research for combat-related traumatic injuries,23.0,Boebert (CO),No,Yes,No,,,Navy,RDT&E,"O&M, Defense Wide"
,"$5,000",$0,$0,for the purpose of maximizing soldier performance and lethality through enhanced research of musculoskeletal health and physiology to improve individual resistance to injury and fatigue,21.0,"Bacon (NE), Thompson (PA)",No,Yes,No,Medical Technology,,Army,RDT&E,"O&M, Defense Wide"
,"$5,000",$0,$0,"modernizing defense nuclear command, control and communications (NC3) enterprise capabilities through USSTRATCOM's Research Engineering and Collaboration Hub (REACH)",20.0,Bacon (NE),No,Yes,No,"Command, Control, Communication, and Computers (C4) - STRATCOM",,Air Force,RDT&E,"O&M, Defense Wide"
,"$10,000",$0,"$10,000",One UH-72B Lakota Helicopter,18.0,"Kelly (MS), Guest (MS), Veasy (TX)",No,No,No,UH-72 Lakota Light Utility Helicopter,"Aircraft Procurement, Army",Army,Procurement,"O&M, Space Force"
,"$8,000","$3,000","$3,000",Autonomous Surface and Underwater Dual-Modality Vehicles / Autonomous dual-modality surface and underwater vehicles,17.0,"Ezell (MS), Kelly (MS), Guest (MS)",No,Yes,No,Air/Ocean Tactical Applications,,Navy,RDT&E,"O&M, Space Force"
,"$4,000",$0,$0,to support manufacturing technology with respect to the development of nanocomposite functional coatings,15.0,Joyce (OH),No,Yes,No,Manufacturing Technology Program,,Air Force,RDT&E,"RDT&E, Air Force"
,"$5,000",$0,$0,to study traumatic brain injuries in veterans,13.0,"Dunn (FL), McCormick (GA)",No,Yes,No,,,Army,RDT&E,"O&M, Air Force"
,"$55,000","$47,500","$47,500",HMMWV ABS/ESC retrofit kits,12.0,"Fallon (TX), McClain(MI), Wilson (SC), Norcross (NJ), Hudson (NC), Moran (TX)",No,No,Army,Modification of In Svc Equipment,"Other Procurement, Army",Army,Procurement,
,"$10,000",$0,"$3,500",to ensure the Air Force Research Lab (AFRL) has continued resources to continue research and development on Adaptive Medium-Lift Engine Architecture / adaptive medium-lift engine architecture,10.0,Caraveo (CO),No,Yes,No,Space Advanced Technology Development/Demo,,Space Force,RDT&E,"O&M, Navy and Defense Wide"
,"$5,000",$0,$0,"Virtual Proving Grounds Technology -- This technology enables virtual prototyping and testing, which accelerates the rate of technological deployment, reduces the need for physical prototypes, lowers costs, and minimizes risks",8.0,"Stevens (MI), Bergman (MI), Dingell (MI)",No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,"O&M, Army"
,"$7,750",$0,$0,for deployment and operationalization of additional sensor-based algorithms under the USAF Predictive Analytics and Decision Assistant (PANDA) system,7.0,McCormick (GA),No,No,No,Rapid Sustainment Modernization (RSM),,Air Force,RDT&E,"O&M, Army"
,"$2,000",$0,"$1,000",to bolster biotechnology research / biotechnology advancements,4.0,Carbajal (CA),No,No,No,University and Industry Research Centers,,Army,RDT&E,"O&M, Army"
,"$15,000",$0,$0,Army RDT&E,1.0,"James (MI), Stevens (MI)",No,No,No,,,Army,RDT&E,"O&M, Army"
,$0,"$1,800,000","$1,800,000",Ten additional aircraft,,,No,No,No,P-8A Poseidon,"Aircraft Procurement, Navy",Navy,Procurement,
,$0,"$1,280,000","$1,280,000",Advance procurement for additional FY25 DDG 51,,,No,No,No,DDG-51 [AP-CY],"Shipbuilding and Conversion, Navy",Navy,Procurement,
,"$1,000,000","$850,000","$1,000,000",National Guard and Reserve Equipment Fund,,,No,Yes,No,,,National Guard and Reserve Equipment Fund,Procurement,
,"$487,200","$840,000","$840,000",four aircraft for the Air National Guard / 8 additional aircraft for the Air National Guard,,,No,Yes,No,C-130J,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$675,000",$0,"$675,000",five additional CMV-22,,,No,No,No,V-22 (Medium Lift),"Aircraft Procurement, Navy",Navy,Procurement,
,"$400,000",$0,"$585,000",four additional SSC,,,No,Yes,No,Ship to Shore Connector,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,$0,"$430,000","$430,000",Program increase,,,No,No,Army,Abrams Upgrade Program,"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,$0,$0,"$413,000",Two additional aircraft,,,Yes,No,No,E-2D Adv Hawkeye,"Aircraft Procurement, Navy",Navy,Procurement,
,"$120,000","$400,000","$400,000",two aircraft / ten aircraft,,,No,No,No,Combat Rescue Helicopter,"Aircraft Procurement, Air Force",Air Force,Procurement,
,$0,"$300,000","$300,000",Large surface combatant shipyard infrastructure,,,No,Yes,No,DDG-51,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,$0,"$280,000","$280,000",Future engine technologies / engine technologies,,,No,No,No,Advanced Engine Development,,Air Force,RDT&E,
,$0,$0,"$278,600",shortfall adjustment,,,Yes,No,No,C-130J,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$277,353",$0,"$277,353",three F-35A aircraft,,,No,No,No,F-35,"Aircraft Procurement, Air Force",Air Force,Procurement,
,$0,"$250,000","$250,000",Advance procurement of LPD 33,,,No,Yes,Marine Corps,LPD Flight II [AP-CY],"Shipbuilding and Conversion, Navy",Navy,Procurement,
,"$220,000",$0,"$220,000",support to combatant commands,,,No,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
